Key Date;Legal Entity;Business Portfolio;Cohort;Factor Actuals;Factor Estimates
20211231;001;32;2009;L22100;100,00;100,00
20211231;001;32;2010;L22100;100,00;100,00
20211231;001;32;2010;L22100;100,00;100,00
20211231;001;32;2010;L22100;100,00;100,00
20211231;001;32;2010;L22100;0,00;0,00
20211231;001;32;2010;L22100;0,00;0,00
20211231;001;32;2010;L22100;0,00;0,00
20211231;001;32;2010;L22100;0,00;0,00
20211231;001;32;2010;L22100;100,00;100,00
20211231;001;32;2010;L22100;0,00;0,00
20211231;001;32;2010;L22100;100,00;100,00
20211231;001;32;2011;L22100;0,00;0,00
20211231;001;32;2011;L22100;100,00;100,00
20211231;001;32;2011;L22100;99,85;99,85
20211231;001;32;2011;L22100;0,15;0,15
20211231;001;32;2011;L22100;100,00;100,00
20211231;001;32;2011;L22100;0,00;0,00
20211231;001;32;2011;L22100;0,00;0,00
20211231;001;32;2011;L22100;100,00;100,00
20211231;001;32;2011;L22100;0,00;0,00
20211231;001;32;2011;L22100;100,00;100,00
20211231;001;32;2012;L22100;100,00;100,00
20211231;001;32;2012;L22100;100,00;100,00
20211231;001;32;2012;L22100;100,00;100,00
20211231;001;32;2012;L22100;0,00;0,00
20211231;001;32;2012;L22100;0,00;0,00
20211231;001;32;2012;L22100;0,00;0,00
20211231;001;32;2012;L22100;0,00;0,00
20211231;001;32;2012;L22100;100,00;100,00
20211231;001;32;2012;L22100;0,00;0,00
20211231;001;32;2012;L22100;100,00;100,00
20211231;001;32;2013;L22100;0,00;0,00
20211231;001;32;2013;L22100;100,00;100,00
20211231;001;32;2013;L22100;99,99;99,99
20211231;001;32;2013;L22100;0,01;0,01
20211231;001;32;2013;L22100;100,00;100,00
20211231;001;32;2013;L22100;0,00;0,00
20211231;001;32;2013;L22100;0,00;0,00
20211231;001;32;2013;L22100;100,00;100,00
20211231;001;32;2013;L22100;0,00;0,00
20211231;001;32;2013;L22100;100,00;100,00
20211231;001;32;2013;L22100;0,00;0,00
20211231;001;32;2013;L22100;100,00;100,00
20211231;001;32;2013;L22100;99,99;99,99
20211231;001;32;2013;L22100;0,01;0,01
20211231;001;32;2013;L22100;100,00;100,00
20211231;001;32;2013;L22100;0,00;0,00
20211231;001;32;2013;L22100;0,00;0,00
20211231;001;32;2013;L22100;100,00;100,00
20211231;001;32;2013;L22100;0,00;0,00
20211231;001;32;2013;L22100;100,00;100,00
20211231;001;32;2014;L22100;0,00;0,00
20211231;001;32;2014;L22100;100,00;100,00
20211231;001;32;2014;L22100;99,95;99,95
20211231;001;32;2014;L22100;0,05;0,05
20211231;001;32;2014;L22100;100,00;100,00
20211231;001;32;2014;L22100;0,00;0,00
20211231;001;32;2014;L22100;0,00;0,00
